Year,Conf,Team,Wins,Loss,Prorated Win,Salary,cost per win,champ,Finals,playoffs,,,,,,,,,
2019,Southwest,New Orleans Pelicans,33,49,33,"$117,797,425 ","$3,569,618.94 ",0,0,,,,,,,,,,
2019,Atlantic,New York Knicks,17,65,17,"$100,220,276 ","$5,895,310.35 ",0,0,,,,,,,,,,
2019,Northwest,Oklahoma City Thunder,49,33,49,"$131,847,446 ","$2,690,764.20 ",0,0,,,,,,,,,,
2019,Southeast,Orlando Magic,42,40,42,"$125,365,088 ","$2,984,883.05 ",0,0,,,,,,,,,,
2019,Atlantic,Philadelphia 76ers,51,31,51,"$126,594,115 ","$2,482,237.55 ",0,0,,,,,,,,,,
2019,Pacific,Phoenix Suns,19,63,19,"$98,005,821 ","$5,158,201.11 ",0,0,,,,,,,,,,
2019,Northwest,Portland Trail Blazers,53,29,53,"$131,037,504 ","$2,472,405.74 ",0,0,,,,,,,,,,
2019,Pacific,Sacramento Kings,39,43,39,"$112,819,088 ","$2,892,797.13 ",0,0,,,,,,,,,,
2019,Southwest,San Antonio Spurs,48,34,48,"$111,915,368 ","$2,331,570.17 ",0,0,,,,,,,,,,
2019,Atlantic,Toronto Raptors,58,24,58,"$125,463,535 ","$2,163,164.40 ",1,1,,,,,,,,,,
2019,Northwest,Utah Jazz,50,32,50,"$119,985,153 ","$2,399,703.06 ",0,0,,,,,,,,,,
2019,Southeast,Washington Wizards,32,50,32,"$87,153,787 ","$2,723,555.84 ",0,0,,,,,,,,,,
2018,Southeast,Atlanta Hawks,24,58,24,"$62,166,838 ","$2,590,284.92 ",0,0,,,,,,,,,,
2018,Atlantic,Boston Celtics,55,27,55,"$126,135,234 ","$2,293,367.89 ",0,0,,,,,,,,,,
2018,Atlantic,Brooklyn Nets,28,54,28,"$77,805,720 ","$2,778,775.71 ",0,0,,,,,,,,,,
2018,Southeast,Charlotte Hornets,36,46,36,"$121,810,182 ","$3,383,616.17 ",0,0,,,,,,,,,,
2018,Central,Chicago Bulls,27,55,27,"$93,022,110 ","$3,445,263.33 ",0,0,,,,,,,,,,
2018,Central,Cleveland Cavaliers,50,32,50,"$122,168,064 ","$2,443,361.28 ",0,1,,,,,,,,,,
